diasuransikan	di @@asuransi @@kan
pencair	pen @@cair
penanganannya	pen @@tangan @@an @@nya
sayur	sayur
terakhir	ter @@akhir
kemarau	kemarau
pemisahan	pen @@pisah @@an
mengelolanya	men @@kelola @@nya
orde	orde
ditembak	di @@tembak
peledak	pen @@ledak
berdalih	ber @@dalih
berinduk	ber @@induk
gigi	gigi
dramatis	dramatis
dipanggang	di @@panggang
pacu	pacu
tektonik	tektonik
tekanan	tekan @@an
turbin	turbin
diagnosanya	nyagnosa @@nya
menyuap	men @@suap
pembekalan	pen @@bekal @@an
beratnya	berat @@nya
pertenunan	per @@tenun @@an
solo	solo
pemancing	pen @@pancing
udang	udang
mengaliri	men @@alir @@i
penginjil	pen @@injil
bibinya	bibi @@nya
antisipasi	antisipasi
slogan	slogan
koordinasinya	koordinasi @@nya
usus	usus
corak	corak
pembaruannya	pen @@baru @@an @@nya
pegawai	pegawai
buka	buka
kuingin	ku @@ingin
pengirim	pen @@kirim
roda	roda
emosi	emosi
perseroan	perseroan
dititipkannya	di @@titip @@kan @@nya
dicurangi	di @@curang @@i
menetapkan	men @@tetap @@kan
aksi	aksi
mengimunisasi	men @@imunisasi
jantung	jantung
memperbincangkan	men @@bincang @@kan
penggarap	pen @@garap
sumberdayanya	sumberdaya @@nya
benua	benua
dekan	dek @@an
diperkenalkan	di @@per @@kenal @@kan
dahaga	dahaga
dusun	dusun
payung	payung
kelahiran	ke @@lahir @@an
berorang	ber @@orang
berpendapatan	ber @@pen @@dapat @@an
mengambilkanku	men @@ambil @@kan @@ku
perhatian	per @@hati @@an
romawi	romawi
durhaka	durhaka
bengkok	bengkok
merangsang	men @@rangsang
kebohongan	ke @@bohong @@an
pengorbanannya	pen @@korban @@an @@nya
mitranya	mitra @@nya
bukti	bukti
membekukan	men @@beku @@kan
rutinitasnya	rutinitas @@nya
pemimpin	pen @@pimpin
persneling	persneling
penggodokan	pen @@godok @@an
menepis	men @@tepis
mewajibkan	men @@wajib @@kan
menggiatkan	men @@giat @@kan
ngerinya	ngeri @@nya
beradu	ber @@adu
tersulut	ter @@sulut
subjektivitas	subjektivitas
melapor	men @@lapor
antagonis	antagonis
enak	enak
tesisnya	tesis @@nya
kotornya	kotor @@nya
perpustakaan	perpustakaan
terpenuhinya	men @@penuh @@i @@nya
kontroversi	kontroversi
sisi	sisi
detik	detik
melatarbelakangi	men @@latarbelakang @@i
paku	paku
pekerjaan	pekerja @@an
hargai	harga @@i
ditjen	ditjen
fasih	fasih
tekad	tekad
informasi	informasi
kejadianku	ke @@jadi @@an @@ku
diadukan	di @@adu @@kan
foto	foto
memperburuk	men @@buruk
menjauhkan	men @@jauh @@kan
karung	karung
didikan	didik @@an
pengimplementasian	pen @@implementasi @@an
ungkap	ungkap
mencukupinya	men @@cukup @@i @@nya
dicari	di @@cari
haluan	halu @@an
disipliner	disipliner
berakting	ber @@akting
mengenali	men @@kenal @@i
kabur	kabur
tradisi	tradisi
rutinnya	rutin @@nya
sangsi	sangsi
mengucilkan	men @@kucil @@kan
ri	ri
biayanya	biaya @@nya
sempurnanya	sempurna @@nya
tandan	tandan
diundur	di @@undur
bangsanya	bangsa @@nya
berlangganan	ber @@langgan @@an
terdengar	ter @@dengar
bolos	bolos
ditinggikan	di @@tinggi @@kan
dibuatkan	di @@buat @@kan
terkunci	ter @@kunci
menyeleksi	men @@seleksi
smp	smp
menggendong	men @@gendong
talak	talak
mencapai	men @@capai
aktif	aktif
memimpin	men @@pimpin
mengajarku	men @@ajar @@ku
mutu	mutu
disingkat	di @@singkat
memilih	men @@pilih
ganda	ganda
katalog	katalog
ditempelkan	di @@tempel @@kan
pemilahan	pen @@pilah @@an
pemerintahnya	pen @@perintah @@nya
penghuninya	pen @@huni @@nya
mengharmoniskan	men @@harmonis @@kan
seismik	seismik
buku	buku
singkatan	singkat @@an
dapatkan	dapat @@kan
persimpangan	per @@simpang @@an
berjubahkan	ber @@jubah @@kan
dipercayai	di @@percaya @@i
sepesawat	se @@pesawat
pengering	pen @@kering
berawalan	ber @@awal @@an
keluarkan	keluar @@kan
batuan	batu @@an
ajang	ajang
heran	heran
ditenderkan	di @@tender @@kan
terduga	ter @@duga
terjaganya	ter @@jaga @@nya
mengandung	men @@kandung
tabel	tabel
terjangan	terjang @@an
kasus	kasus
kontak	kontak
teliti	teliti
cairnya	cair @@nya
wajan	wajan
mengintegrasikan	men @@integrasi @@kan
siswa	siswa
menyiram	men @@siram
rotasi	rotasi
azas	azas
mendapatkannya	men @@dapat @@kan @@nya
laki	laki
kandang	kandang
jubahnya	jubah @@nya
hungaria	hungaria
pemecatan	pen @@pecat @@an
kutipan	kutip @@an
merangkap	men @@rangkap
berangin	ber @@angin
diurai	di @@urai
biskuit	biskuit
penganiayaan	pen @@aniaya @@an
meluasnya	men @@luas @@nya
lirik	lirik
tersisihkan	ter @@sisih @@kan
surutnya	surut @@nya
perumahan	pen @@rumah @@an
menutup	men @@tutup
merevisi	men @@revisi
mengapung	men @@apung
membicarakan	men @@bicara @@kan
mengunjungi	men @@kunjung @@i
dibebani	di @@beban @@i
pembentukannya	pen @@bentuk @@an @@nya
andalkan	andal @@kan
baku	baku
merampingkan	men @@ramping @@kan
tumpang	tumpang
muat	muat
pelembagaan	pen @@lembaga @@an
perhatikan	perhatikan
jarum	jarum
transparan	transparan
pemukimannya	pen @@mukim @@an @@nya
berkelanjutan	ber @@ke @@lanjut @@an
memfokuskan	men @@fokus @@kan
perselisihan	per @@selisih @@an
ditempatkan	di @@tempat @@kan
penjudi	pen @@judi
terjaminnya	ter @@jamin @@nya
menguasainya	men @@kuasa @@i @@nya
secangkir	se @@cangkir
diakuinya	di @@aku @@i @@nya
setahap	se @@tahap
menerapkan	men @@terap @@kan
kasihmu	kasih @@mu
penimbunan	pen @@timbun @@an
dikeluhkan	di @@keluh @@kan
kiosnya	kios @@nya
medisnya	medis @@nya
tangani	tangan @@i
maksud	maksud
puncak	puncak
pipa	pipa
menangis	men @@tangis
diremehkan	di @@remeh @@kan
antartingkatan	antar @@tingkat @@an
dihargai	di @@harga @@i
dibentuk	di @@bentuk
gugur	gugur
dirawat	di @@rawat
seminggu	se @@minggu
pestanya	pesta @@nya
menerimanya	men @@terima @@nya
pelajari	pelajar @@i
mencatatkan	men @@catat @@kan
miliknya	milik @@nya
dibersihkan	di @@bersih @@kan
penambah	pen @@tambah
penghargaan	pen @@harga @@an
kecewa	kecewa
keinginan	ke @@ingin @@an
analisis	analisis
mengajarnya	men @@ajar @@nya
proposal	proposal
departemennya	departemen @@nya
mewarnai	men @@warna @@i
sekaleng	se @@kaleng
pembina	pen @@bina
rekornya	rekor @@nya
berwarna	ber @@warna
dataran	datar @@an
dibuatkannya	di @@buat @@kan @@nya
mencirikan	men @@ciri @@kan
biola	biola
mencangkul	men @@cangkul
awal	awal
pandai	pandai
disalahgunakan	di @@salahguna @@kan
esa	esa
dikutuk	di @@kutuk
cemar	cemar
wajahnya	wajah @@nya
kemunculan	ke @@muncul @@an
kalender	kalender
dikonversi	di @@konversi
berdekatan	ber @@dekat @@an
pendaftar	pen @@daftar
dihindarinya	di @@hindar @@i @@nya
menangisi	men @@tangis @@i
melebihi	men @@lebih @@i
rendahnya	rendah @@nya
searah	se @@arah
beragama	ber @@agama
politik	politik
jati	jati
minimal	minimal
berkeliling	ber @@keliling
melangkahkan	men @@langkah @@kan
jeda	jeda
semisal	se @@misal
diselaraskan	di @@selaras @@kan
terbunuh	ter @@bunuh
menulari	men @@tular @@i
dipraktekkan	di @@praktek @@kan
pelajarannya	pelajar @@an @@nya
digarisbawahi	di @@garisbawah @@i
mencuci	men @@cuci
bertempat	ber @@tempat
senang	senang
wahyu	wahyu
penumpangan	pen @@tumpang @@an
pengambilalihan	pen @@ambilalih @@an
dilampiri	di @@lampir @@i
memblok	men @@blok
penyesuaian	pen @@sesuai @@an
disiasati	di @@siasat @@i
balok	balok
terikatnya	ter @@ikat @@nya
dibawa	di @@bawa
jambu	jambu
pikirannya	pikir @@an @@nya
penjagaan	pen @@jaga @@an
tengahnya	tengah @@nya
hewan	hewan
kenaikan	ke @@naik @@an
strategis	strategis
bandung	bandung
meloloskan	men @@lolos @@kan
kemungkinannya	kemungkinan @@nya
jaraknya	jarak @@nya
kepalanya	kepala @@nya
mengevakuasi	men @@evakuasi
kecap	kecap
bijaksana	bijaksana
bisnisnya	bisnis @@nya
pembubaran	pen @@bubar @@an
berasal	ber @@asal
mengatasinya	men @@atas @@i @@nya
lemparan	lempar @@an
lega	lega
berlayar	ber @@layar
mengasihi	men @@kasih @@i
dermaga	dermaga
alkitab	alkitab
dikontrakkan	di @@kontrak @@kan
pengiring	pen @@iring
sabun	sabun
ditafsirkan	di @@tafsir @@kan
ditelepon	di @@telepon
terberat	ter @@berat
terbentang	ter @@bentang
dimusnahkan	di @@musnah @@kan
perbaiki	perbaiki
merawati	men @@rawat @@i
diikuti	di @@ikut @@i
riba	riba
mengagumi	men @@kagum @@i
mendiskusikannya	men @@diskusi @@kan @@nya
cakap	cakap
pelintasan	pen @@lintas @@an
istilahnya	istilah @@nya
mawarnya	mawar @@nya
trend	trend
jumpa	jumpa
dewasanya	dewasa @@nya
membujuk	men @@bujuk
menyesali	men @@sesal @@i
kumulatif	kumulatif
memegang	men @@pegang
analisi	analis @@i
rambutku	rambut @@ku
penambang	pen @@tambang
alam	alam
kafein	kafein
penebus	pen @@tebus
dibutuhkannya	di @@butuh @@kan @@nya
lingkungan	lingkung @@an
kisah	kisah
tren	tren
menyeragamkan	men @@seragam @@kan
angsuran	angsur @@an
menyiarkannya	men @@siar @@kan @@nya
pendatang	pen @@datang
pendukung	pen @@dukung
berukuran	ber @@ukur @@an
menggolongkan	men @@golong @@kan
selebihnya	se @@lebih @@nya
ramalan	ramal @@an
antarinstansi	antar @@instansi
asian	asian
penambangan	pen @@tambang @@an
memperkosa	men @@perkosa
tersulit	ter @@sulit
ditanggulangi	di @@tanggulang @@i
menyeberangi	men @@seberang @@i
dermaganya	dermaga @@nya
terjun	terjun
ditanggapi	di @@tanggap @@i
peninggalan	pen @@tinggal @@an
bermasyarakat	ber @@masyarakat
memperkuat	men @@kuat
mampuan	mampu @@an
perabotan	perabot @@an
pengurangan	pen @@kurang @@an
jawabannya	jawab @@an @@nya
menenangkan	men @@tenang @@kan
diingatkan	di @@ingat @@kan
gaul	gaul
mengupas	men @@kupas
buruknya	buruk @@nya
perencana	pen @@rencana
hormati	hormat @@i
petinggi	petinggi
mempertahankan	men @@tahan @@kan
terpaut	ter @@paut
reporter	reporter
tepuk	tepuk
kedengarannya	ke @@dengar @@an @@nya
mengumpulkan	men @@kumpul @@kan
bendahara	bendahara
laporan	lapor @@an
tentu	tentu
tertumpuk	ter @@tumpuk
direkam	di @@rekam
penyitaan	pen @@sita @@an
menyingkir	men @@singkir
disetujuinya	di @@setuju @@i @@nya
kelelawar	kelelawar
menegarkan	men @@tegar @@kan
renovasi	renovasi
dinamis	dinamis
situasinya	situasi @@nya
omong	omong
menakutkan	men @@takut @@kan
digelar	di @@gelar
dikunjungi	di @@kunjung @@i
substansi	substansi
merusak	men @@rusak
dihadirkan	di @@hadir @@kan
samping	samping
diredam	di @@redam
membebaskannya	men @@bebas @@kan @@nya
material	material
wawancara	wawancara
raga	raga
permanennya	permanen @@nya
pembahas	pen @@bahas
salinannya	salin @@an @@nya
independen	independen
berkomitmen	ber @@komitmen
direktorat	direktorat
frekuensi	frekuensi
pilot	pilot
bereaksi	ber @@reaksi
lokasinya	lokasi @@nya
liga	liga
terkuras	ter @@kuras
menjuarai	men @@juara @@i
goyang	goyang
hubungi	hubung @@i
berbuah	ber @@buah
mengupayakan	men @@upaya @@kan
gemuk	gemuk
antarwarga	antar @@warga
aktivitasnya	aktivitas @@nya
besaran	besar @@an
berinovasi	ber @@inovasi
gelapnya	gelap @@nya
cd	cd
volume	volume
internal	internal
gigitannya	gigit @@an @@nya
dibolehkan	di @@boleh @@kan
penjelasan	pen @@jelas @@an
serinci	se @@rinci
menghadapi	men @@hadap @@i
galangan	galang @@an
penyusup	pen @@susup
pendidikan	pen @@didik @@an
mengimpor	men @@impor
dikepung	di @@kepung
lorong	lorong
loncatan	loncat @@an
dijual	di @@jual
investigasi	investigasi
lkm	lkm
urutan	urut @@an
prakarsa	prakarsa
profesional	profesional
digembalakan	di @@gembala @@kan
terdiri	ter @@diri
sarapan	sarapan
kuburan	kubur @@an
sadari	sadar @@i
pemadam	pen @@madam
dilandasi	di @@landas @@i
berbalik	ber @@balik
bernalar	ber @@nalar
mendulang	men @@dulang
peduli	peduli
berekspresi	ber @@ekspresi
dibilang	di @@bilang
oknum	oknum
mendalam	men @@dalam
dikawal	di @@kawal
tiba	tiba
menjauhi	men @@jauh @@i
salahnya	salah @@nya
pelimpahan	pen @@limpah @@an
alternatif	alternatif
tertempel	ter @@tempel
menyegarkan	men @@segar @@kan
persoalan	per @@soal @@an
profesor	profesor
merindukan	men @@rindu @@kan
lamanya	lama @@nya
darahku	darah @@ku
terkonsolidasi	ter @@konsolidasi
pembengkakan	pen @@bengkak @@an
alkitabnya	alkitab @@nya
konsumen	konsumen
perusahaan	per @@usaha @@an
isu	isu
ragam	ragam
efisiensi	efisiensi
pemangku	pen @@pangku
kutanggung	ku @@tanggung
diucapkan	di @@ucap @@kan
buah	buah
parit	parit
ketidakseimbangan	ke @@tidak @@seimbang @@an
merobohkan	men @@roboh @@kan
memadainya	memadai @@nya
dikaruniai	di @@karunia @@i
peran	peran
membutakan	men @@buta @@kan
negarawan	negara @@wan
ditelan	di @@telan
menyesal	men @@sesal
pedagang	pedagang
diubah	di @@ubah
pewaris	pen @@waris
memberhentikan	men @@ber @@henti @@kan
perpanjangan	per @@panjang @@an
terkorup	ter @@korup
penggusuran	pen @@gusur @@an
sasaran	sasar @@an
perpaduan	per @@padu @@an
penyeludupan	pen @@seludup @@an
menyibukkan	men @@sibuk @@kan
pujikan	puji @@kan
diunduh	di @@unduh
kebalikannya	ke @@balik @@an @@nya
akibatkan	akibat @@kan
menanganinya	men @@tangan @@i @@nya
dinikahi	di @@nikah @@i
mesin	mesin
selembar	se @@lembar
mengemudi	men @@kemudi
bibit	bibit
pemblokiran	pen @@blokir @@an
produktivitasnya	produktivitas @@nya
penagih	pen @@tagih
pencucian	pen @@cuci @@an
gulung	gulung
gamblang	gamblang
penyadaran	pen @@sadar @@an
semudah	se @@mudah
efektifnya	efektif @@nya
disiapkannya	di @@siap @@kan @@nya
tercakup	ter @@cakup
rapuh	rapuh
bibirnya	bibir @@nya
wajib	wajib
anggur	anggur
sepatunya	sepatu @@nya
pelanggan	pen @@langgan
dikonfirmasi	di @@konfirmasi
memperindah	men @@indah
disingkirkan	di @@singkir @@kan
menayangkan	men @@tayang @@kan
menerpanya	men @@terpa @@nya
jangkauan	jangkau @@an
permanen	permanen
disyukuri	di @@syukuri
berlimpahnya	ber @@limpah @@nya
kinerja	kinerja
disingkapkan	di @@singkap @@kan
bercela	ber @@cela
waduk	waduk
menyambung	men @@sambung
bajak	bajak
pertanggungan	per @@tanggung @@an
progresif	progresif
dipersepsikan	di @@persepsi @@kan
kalifornia	kalifornia
kolonel	kolonel
didik	didik
diasosiasikan	di @@asosiasi @@kan
pendarahan	pen @@darah @@an
tradisional	tradisional
tonton	tonton
maraknya	marak @@nya
diletakkan	di @@letak @@kan
berlimpah	ber @@limpah
bermukim	ber @@mukim
konferensi	konferensi
produktivitas	produktivitas
suci	suci
ketik	ketik
sd	sd
perenungan	pen @@renung @@an
memihak	men @@pihak
gantinya	ganti @@nya
penafsiran	pen @@tafsir @@an
laksanakan	laksana @@kan
anugerahkan	anugerah @@kan
menyusul	men @@susul
penugasan	pen @@tugas @@an
gulat	gulat
sederajat	se @@derajat
nonpungutan	non @@pungut @@an
percayakan	percaya @@kan
diseret	di @@seret
mengutamakan	men @@utama @@kan
konsepnya	konsep @@nya
usulkan	usul @@kan
pindahan	pindah @@an
bergulat	ber @@gulat
kompeten	kompeten
konsumsinya	konsumsi @@nya
ditanamkan	di @@tanam @@kan
kontribusinya	kontribusi @@nya
ditentang	di @@tentang
menerbangkan	men @@terbang @@kan
perda	perda
raja	raja
unsur	unsur
darurat	darurat
indikatornya	indikator @@nya
rakyatnya	rakyat @@nya
diyakini	di @@yakin @@i
dilanjutkannya	di @@lanjut @@kan @@nya
demonstran	demonstran
terperangkap	ter @@pen @@rangkap
lidah	lidah
bercirikan	ber @@ciri @@kan
dicontohkan	di @@contoh @@kan
hipotesis	hipotesis
menyanyikan	men @@nyanyi @@kan
dadaku	dada @@aku
minim	minim
mengalirnya	men @@alir @@nya
menjangkaunya	men @@jangkau @@nya
tagih	tagih
merusakkannya	men @@rusak @@kan @@nya
pengajarnya	pen @@ajar @@nya
versi	versi
membuktikannya	men @@bukti @@kan @@nya
efektif	efektif
tajuk	tajuk
kotak	kotak
dibacakan	di @@baca @@kan
sengit	sengit
usulannya	usul @@an @@nya
peternakan	peternakan
kategorisasi	kategorisasi
kontribusi	kontribusi
istimewa	istimewa
pelantikannya	pen @@lantik @@an @@nya
penggenapan	pen @@genap @@an
tinggal	tinggal
dipunyai	di @@punya @@i
penyebaran	pen @@sebar @@an
digadaikan	di @@gadai @@kan
mengundurkan	men @@undur @@kan
berusia	ber @@usia
sistemnya	sistem @@nya
perekonomian	per @@ekonomi @@an
spekulasi	spekulasi
penargetannya	pen @@target @@an @@nya
pertolongan	per @@tolong @@an
berasumsi	ber @@asumsi
hariannya	hari @@an @@nya
menghampiri	men @@hampiri
dagingku	daging @@ku
handuk	handuk
berprestasi	ber @@prestasi
membesar	men @@besar
menggerutu	men @@gerutu
arus	arus
relevansi	relevansi
menyerang	men @@serang
selimut	selimut
seisi	se @@isi
diprediksikan	di @@prediksi @@kan
memprioritaskan	men @@prioritas @@kan
dijunjung	di @@junjung
skandal	skandal
mempekerjakan	men @@pekerja @@kan
ketidakbahagiaan	ke @@tidak @@bahagia @@an
hening	hening
agung	agung
selisihnya	selisih @@nya
dicap	di @@cap
teladannya	teladan @@nya
legal	legal
dimotivasi	di @@motivasi
tubuh	tubuh
sejawat	se @@jawat
produktifitas	produktifitas
derajat	derajat
banjir	banjir
keberangkatan	ke @@berangkat @@an
bersasaran	ber @@sasar @@an
pemberitahuan	pen @@beritahu @@an
unjuk	unjuk
layanan	layan @@an
profesionalnya	profesional @@nya
diagendakan	di @@agenda @@kan
pemantau	pen @@pantau
melainkan	men @@lain @@kan
penghimpunan	pen @@himpun @@an
pengasih	pen @@kasih
uangnya	uang @@nya
nota	nota
berkarier	ber @@karier
kelihatan	ke @@lihat @@an
diubahkan	di @@ubah @@kan
dilukai	di @@luka @@i
ikuti	ikut @@i
berartinya	ber @@arti @@nya
figur	figur
mencoba	men @@coba
tersalib	ter @@salib
terhitung	ter @@hitung
bayangan	bayang @@an
menggairahkan	men @@gairah @@kan
terintegrasi	ter @@integrasi
pandang	pandang
pelempar	pen @@lempar
mematuhi	men @@patuh @@i
punyai	punya @@i
kucingnya	kucing @@nya
berinvestasi	ber @@investasi
mentransfer	men @@transfer
untungnya	untung @@nya
melancarkan	men @@lancar @@kan
sumbernya	sumber @@nya
mengendarai	men @@kendara @@i
tekstil	tekstil
pemasoknya	pen @@pasok @@nya
menirukan	men @@tiru @@kan
bermunculan	ber @@muncul @@an
dimengerti	di @@mengerti
sampaikan	sampai @@kan
dipisahkan	di @@pisah @@kan
nyanyiannya	nyanyi @@an @@nya
melemahkan	men @@lemah @@kan
menyaksikan	men @@saksi @@kan
kesal	kesal
mekaniknya	mekanik @@nya
gantung	gantung
perampokan	pen @@rampok @@an
ditantang	di @@tantang
mengendurkan	men @@kendur @@kan
nonsaham	non @@saham
disebarkan	di @@sebar @@kan
percakapan	per @@cakap @@an
manuver	manuver
aksesnya	akses @@nya
titik	titik
disalibkan	di @@salib @@kan
polandia	polandia
simak	simak
sensitif	sensitif
pengajarannya	pen @@ajar @@an @@nya
tumbuhnya	tumbuh @@nya
bunga	bunga
bermerk	ber @@merk
tuanmu	tuan @@mu
berkelimpahan	ber @@ke @@limpah @@an
pasalnya	pasal @@nya
manufaktur	manufaktur
ternaknya	ternak @@nya
fasilitator	fasilitator
sejam	se @@jam
semenit	se @@menit
melompat	men @@lompat
menimbulkan	men @@timbul @@kan
seiman	se @@iman
cerita	cerita
berakhir	ber @@akhir
bidang	bidang
kompleks	kompleks
otaknya	otak @@nya
tersendiri	ter @@sendiri
sedihan	sedih @@an
beraneka	ber @@aneka
kebangunan	ke @@bangun @@an
wacana	wacana
penjaja	pen @@jaja
timbal	timbal
canada	canada
diminum	di @@minum
pengantar	pen @@antar
menolak	men @@tolak
terlaksananya	ter @@laksana @@nya
rohaninya	rohani @@nya
reproduksi	reproduksi
dimampukan	di @@mampu @@kan
penjabaran	pen @@jabar @@an
mencuri	men @@curi
menyurati	men @@surat @@i
memancar	men @@pancar
sama	sama
ketidakharmonisan	ke @@tidak @@harmonis @@an
bijak	bijak
berimbangnya	ber @@imbang @@nya
secepat	se @@cepat
cadangannya	cadang @@an @@nya
pencegah	pen @@cegah
pemantapan	pen @@mantap @@an
punggung	punggung
papan	papan
tertahan	ter @@tahan
instansi	instansi
syafaat	syafaat
mengarahkannya	men @@arah @@kan @@nya
penyajian	pen @@saji @@an
menguasai	men @@kuasa @@i
menerpa	men @@terpa
antarsekolah	antar @@sekolah
tujukan	tuju @@kan
setia	setia
turunnya	turun @@nya
rekrut	rekrut
mengamati	men @@amati
pengestimasian	pen @@estimasi @@an
tubuhnya	tubuh @@nya
berdamai	ber @@damai
survei	survei
pengamanan	pen @@aman @@an
harta	harta
terlewatkan	ter @@lewat @@kan
kalanya	kala @@nya
berkedudukan	ber @@ke @@duduk @@an
dibatasi	di @@batas @@i
belalai	belalai
pengertian	pengertian
terpangkas	ter @@pangkas
penghiburan	pen @@hibur @@an
terampuh	ter @@ampuh
nonpemerintah	non @@pen @@perintah
olah	olah
jurnalnya	jurnal @@nya
komersialnya	komersial @@nya
disamakan	di @@sama @@kan
senasib	se @@nasib
kompetisi	kompetisi
legislatif	legislatif
bab	bab
mencurahkan	men @@curah @@kan
pendapatan	pen @@dapat @@an
wisatawan	wisata @@wan
mengetahui	men @@ketahui
nasional	nasional
asuransi	asuransi
berbatasan	ber @@batas @@an
muslim	muslim
menjajakan	men @@jaja @@kan
menempel	men @@tempel
kuku	kuku
tercela	ter @@cela
tampilan	tampil @@an
rata	rata
akurat	akurat
menanggapi	men @@tanggap @@i
semut	semut
merehabilitasi	men @@rehabilitasi
dialihkan	di @@alih @@kan
bertuliskan	ber @@tulis @@kan
granat	granat
komputer	komputer
imannya	iman @@nya
tetapkan	tetap @@kan
harun	harun
preminya	premi @@nya
anggota	anggota
konfirmasi	konfirmasi
berproduksi	ber @@produksi
penakut	pen @@takut
menggenapi	men @@genap @@i
berdoa	ber @@doa
rambutnya	rambut @@nya
jatuhnya	jatuh @@nya
jebakan	jebak @@an
perdata	perdata
embun	embun
identifikasi	identifikasi
jaminannya	jamin @@an @@nya
berupaya	ber @@upaya
kejutan	kejut @@an
pengajuannya	pen @@aju @@an @@nya
penulisan	pen @@tulis @@an
terang	terang
menandaskan	men @@tandas @@kan
dukung	dukung
wakilnya	wakil @@nya
gayanya	gaya @@nya
pengukur	pen @@ukur
jangkauannya	jangkau @@an @@nya
perkampungan	per @@kampung @@an
berkuasa	ber @@kuasa
dengarkan	dengar @@kan
perburuan	per @@buru @@an
kulalui	ku @@lalu @@i
wangi	wangi
berpandangan	ber @@pandang @@an
bangkit	bangkit
bersentuhan	ber @@sentuh @@an
penggemar	pen @@gemar
menyatukan	men @@satu @@kan
pemerannya	pen @@peran @@nya
meminimalkan	men @@minimal @@kan
memilihkan	men @@pilih @@kan
mengulang	men @@ulang
jasa	jasa
sabotase	sabotase
bermaksud	ber @@maksud
doanya	doa @@nya
klasik	klasik
kandidat	kandidat
dipersatukan	di @@per @@satu @@kan
deposito	deposito
dipermasalahkan	di @@per @@masalah @@kan
dilingkupi	di @@lingkup @@i
wawasan	wawasan
menaiki	men @@naik @@i
tersiar	ter @@siar
mengaplikasikan	men @@aplikasi @@kan
volumenya	volume @@nya
nyawa	nyawa
emas	emas
bagikan	bagi @@kan
