menguraikan	men urai kan
tabir	tabir
disebar	di sebar
kliennya	klien nya
lebar	lebar
bertahan	ber tahan
konfirmasi	konfirmasi
diminta	di minta
dialog	dialog
dilantik	di lantik
taman	taman
mengkonsumsi	men konsumsi
popoknya	popok nya
kukenal	ku kenal
diwarisinya	di waris i nya
emosional	emosional
koalisi	koalisi
pengukuran	pen ukur an
tipis	tipis
menyetorkannya	men setor kan nya
komoditi	komoditi
bibir	bibir
pencari	pen cari
meratapi	men ratap i
pencalonan	pen calon an
mengasah	men asah
syiah	syiah
isolasi	isolasi
dinegosiasikan	di negosiasi kan
tabel	tabel
antarrumah	antar rumah
pergumulannya	per gumul an nya
menyangkanya	men sangka nya
konsekuensinya	konsekuensi nya
melangkahi	men langkah i
terguncangkan	ter guncang kan
disita	di sita
transmisi	transmisi
pergiliran	per gilir an
belanjakan	belanja kan
produknya	produk nya
diakomodasi	di akomodasi
emosinya	emosi nya
beranggota	ber anggota
mencermati	men cermat i
belgia	belgia
penyalahgunaan	pen salahguna an
diutamakan	di utama kan
berpaut	ber paut
memulihkannya	men pulih kan nya
membasuh	men basuh
disingkat	di singkat
memanipulasi	men manipulasi
didekati	di dekat i
menggesernya	men geser nya
kandas	kandas
mewajibkan	men wajib kan
pengobatannya	pen obat an nya
komplikasi	komplikasi
penginjilan	pen injil an
diprovokasi	di provokasi
mengurus	men urus
kemasan	kemas an
untungnya	untung nya
prancis	prancis
mengelilinginya	men keliling i nya
dimainkan	di main kan
matanya	mata nya
layanannya	layan an nya
seyakin	se yakin
geografi	geografi
kaos	kaos
diasah	di asah
bermainnya	ber main nya
proyeksi	proyeksi
pasien	pasien
mewawancarai	men wawancara i
konsentrasi	konsentrasi
operasi	operasi
watak	watak
lenyap	lenyap
selesai	selesai
penanggungjawab	pen tanggungjawab
terangmu	terang mu
berkompeten	ber kompeten
meminjamkan	men pinjam kan
dilahirkan	di lahir kan
meloloskan	men lolos kan
terdapatnya	ter dapat nya
menerjemahkan	men terjemah kan
bisbol	bisbol
semesta	semesta
jawabnya	jawab nya
penggalian	pen gali an
hormat	hormat
ayahku	ayah ku
ditempuh	di tempuh
tenggang	tenggang
berkala	ber kala
mematahkan	men patah kan
melatarbelakangi	men latarbelakang i
hafalan	hafal an
neraca	neraca
teridentifikasi	ter identifikasi
cercaan	cerca an
besaran	besar an
menginginkanmu	men ingin kan mu
kontrakan	kontrak an
membalikkannya	men balik kan nya
anggap	anggap
besoknya	besok nya
terbelit	ter belit
klorofilnya	klorofil nya
penghiburan	pen hibur an
sayur	sayur
perempuannya	perempuan nya
saudaraku	saudara aku
lamaran	lamar an
memberitahunya	men beritahu nya
diairi	di air i
musuh	musuh
ketidakpatuhan	ke tidak patuh an
entitas	entitas
pasir	pasir
terpesona	ter pesona
posyandunya	posyandu nya
dijumpai	di jumpa i
menetapkannya	men tetap kan nya
sekuler	sekuler
luang	luang
anaknya	anak nya
tumbuhan	tumbuh an
direnovasi	di renovasi
mendapati	men dapat i
perspektif	perspektif
campuran	campur an
memasukkannya	men masuk kan nya
gengsi	gengsi
mengaruniakan	men karunia kan
lagunya	lagu nya
timahnya	timah nya
menoleransinya	men toleransi nya
kumpul	kumpul
harap	harap
penanam	pen tanam
menyampaikannya	men sampai kan nya
menyejukkan	men sejuk kan
diperparah	di per parah
mengorganisasi	men organisasi
menjaminkan	men jamin kan
diluruskan	di lurus kan
mendesentralisasikan	men desentralisasi kan
lisan	lisan
matematikanya	matematika nya
komponennya	komponen nya
disuntik	di suntik
diajukan	di aju kan
orbit	orbit
ulang	ulang
retak	retak
perancangan	pen rancang an
unjuk	unjuk
petanya	peta nya
cakupan	cakup an
perhatian	per hati an
kode	kode
stagnan	stagnan
menyimpulkan	men simpul kan
bersinar	ber sinar
perdata	perdata
mendokumentasikan	men dokumentasi kan
mengalihkan	men alih kan
dimeriahkan	di meriah kan
alatnya	alat nya
dieksekusi	di eksekusi
organisasi	organisasi
waktuku	waktu ku
moral	moral
menyaingi	men saing i
pertanian	per tani an
menunggang	men tunggang
mendoakannya	men doa kan nya
bergirang	ber girang
penasehat	pen nasehat
menasehati	men nasehat i
bukunya	buku nya
bersangkutan	ber sangkut an
dilanggar	di langgar
tegar	tegar
kendalinya	kendali nya
handal	handal
merawatnya	men rawat nya
dikasih	di kasih
mendampinginya	men damping i nya
larangan	larang an
tercermin	ter cermin
menanyai	men tanya i
pembakaran	pen bakar an
pindah	pindah
bunganya	bunga nya
sabtu	sabtu
cd	cd
pemberiannya	pen beri an nya
penjumlahan	pen jumlah an
gencarnya	gencar nya
pemadaman	pen madam an
susun	susun
menyisihkan	men sisih kan
jiwamu	jiwa mu
terekam	ter rekam
fasih	fasih
menembakkan	men tembak kan
cerdas	cerdas
bbm	bbm
mangsa	mangsa
berkarat	ber karat
bergantungnya	ber gantung nya
hamba	hamba
spontan	spontan
dipenjara	di penjara
memasarkan	men pasar kan
menggunakan	men guna kan
berakhirnya	ber akhir nya
ratifikasi	ratifikasi
kadarnya	kadar nya
diulang	di ulang
datanya	data nya
penyerbuan	pen serbu an
stadion	stadion
pundak	pundak
berjaga	ber jaga
menggantungkan	men gantung kan
memukul	men pukul
pembangkit	pen bangkit
menimba	men timba
nyawanya	nyawa nya
antarwilayah	antar wilayah
cinta	cinta
penggemukan	pen gemuk an
sidang	sidang
konsisten	konsisten
kesediaannya	ke senya an nya
menggigiti	men gigit i
simpanan	simpan an
mencegah	men cegah
berburu	ber buru
memperburuk	men buruk
kayuh	kayuh
majikan	majikan
aroma	aroma
menumbuhkannya	men tumbuh kan nya
melambat	men lambat
tanggap	tanggap
menonjol	men tonjol
teks	teks
subkontraknya	subkontrak nya
diintegrasikan	di integrasi kan
lebat	lebat
anjloknya	anjlok nya
ekspansi	ekspansi
solidaritas	solidaritas
kuharap	ku harap
identitas	identitas
tambak	tambak
dihabiskan	di habis kan
beruntun	beruntun
matinya	mati nya
mementingkan	men penting kan
meratanya	men rata nya
antarmitra	antar mitra
dilenyapkan	di lenyap kan
meluruskan	men lurus kan
bertukar	ber tukar
bersaksi	ber saksi
pengorganisasian	pen organisasi an
bodoh	bodoh
intervensi	intervensi
memanfaatkan	men manfaat kan
moskow	moskow
perilaku	perilaku
disebabkan	di sebab kan
menyantap	men santap
kesempatannya	kesempatan nya
for	for
penyataan	pen nyata an
komunitas	komunitas
ditentang	di tentang
tomat	tomat
akte	akte
darurat	darurat
dedikasi	dedikasi
teluk	teluk
pembunuh	pen bunuh
integrasi	integrasi
menyebar	men sebar
pengambilannya	pen ambil an nya
meningkatkan	men tingkat kan
diikutsertakan	di ikutserta kan
menggoda	men goda
menanggap	men tanggap
selembar	se lembar
membayarnya	men bayar nya
berkonsentrasi	ber konsentrasi
agung	agung
instrumen	instrumen
lezatnya	lezat nya
bea	bea
bergeser	ber geser
menjamin	men jamin
terlontar	ter lontar
diberlakukannya	di ber laku kan nya
adidaya	adidaya
mulanya	mula nya
disabotase	di sabotase
propinsi	propinsi
melekat	men lekat
bidannya	bidan nya
memantau	men pantau
tertempel	ter tempel
terukir	ter ukir
diwakili	di wakil i
gubernur	gubernur
balas	balas
kajian	kaji an
mengajaknya	men ajak nya
otomatis	otomatis
payung	payung
musiman	musim an
meteran	meter an
tamunya	tamu nya
umum	umum
menetesnya	men tetes nya
kurikulum	kurikulum
hambatannya	hambat an nya
rambutan	rambut an
diubahnya	di ubah nya
