mengganggu	men ganggu
pihaknya	pihak nya
terpecahkan	ter pecah kan
dilemahkan	di lemah kan
terpandai	ter pandai
mewaspadai	men waspada i
mengutuk	men kutuk
haluan	halu an
promosi	promosi
solusi	solusi
talak	talak
menyebabkan	men sebab kan
berkuasa	ber kuasa
urus	urus
tangis	tangis
pelimpahan	pen limpah an
terprogram	ter program
penyederhanaan	pen sederhana an
mesin	mesin
bawah	bawah
menambang	men tambang
menyembah	men sembah
pengoleksi	pen koleksi
membuatnya	men buat nya
perhentian	per henti an
permennya	permen nya
pencacahan	pen cacah an
sajian	saji an
tenteram	tenteram
tulisan	tulis an
mengupas	men kupas
negatifnya	negatif nya
sombong	sombong
statistik	statistik
data	data
takutkan	takut kan
karakter	karakteri
terjual	ter jual
sentimeter	sentimeter
adat	adat
tebus	tebus
dokumen	dokumen
kelihatan	ke lihat an
perbedaannya	per beda an nya
berair	ber air
menghapuskan	men hapus kan
lapaknya	lapak nya
teriak	teriak
pemantauan	pen pantau an
syair	syair
sebutan	sebut an
semburan	sembur an
mengenakannya	men kena kan nya
merelokasikan	men relokasi kan
membedah	men bedah
membuka	men buka
penyumbang	pen sumbang
membidangi	men bidang i
produser	produser
bekerjasama	bekerjasama
berperilaku	ber perilaku
jala	jala
penghulu	pen hulu
latihan	latih an
seberat	se berat
terpadu	ter padu
nasionalnya	nasional nya
mengolahnya	men olah nya
globalisasi	globalisasi
famili	famili
membayangi	men bayang i
penghujat	pen hujat
menyiapkan	men siap kan
diagnosanya	nyagnosa nya
menanggulanginya	men tanggulang i nya
pungutnya	pungut nya
merenungkannya	men renung kan nya
dedikasi	dedikasi
dihafalkan	di hafal kan
meletihkan	men letih kan
pengaman	pen aman
janin	janin
penyelarasan	pen selaras an
kampanye	kampanye
dindingnya	dinding nya
pemanfaat	pen manfaat
separuh	se paruh
pertukaran	per tukar an
menyisakan	men sisa kan
membutakan	men buta kan
antarjenis	antar jenis
penyebarluasan	pen sebarluas an
susun	susun
terinspirasi	ter inspirasi
deregulasi	deregulasi
manipulasi	manipulasi
mampuan	mampu an
fitur	fitur
mendongkrak	men dongkrak
berdurasi	ber durasi
penggenapannya	pen genap an nya
diplomatik	diplomatik
direkapitulasi	di rekapitulasi
datanya	data nya
arahnya	arah nya
perhatikan	perhatikan
kembali	kembali
sendirinya	sendiri nya
dibiarkan	di biar kan
menabur	men tabur
penyalahgunaan	pen salahguna an
permusuhan	per musuh an
pencatatan	pen catat an
berjangka	ber jangka
disoroti	di sorot i
terhilang	ter hilang
imigran	imigran
disekolahkan	di sekolah kan
mual	mual
pengacau	pen kacau
usia	usia
pemantau	pen pantau
berujar	ber ujar
hanyut	hanyut
pergerakan	per gerak an
kala	kala
terhormat	ter hormat
antarguru	antar guru
punya	punya
indonesia	indonesia
berargumen	ber argumen
peredaran	per edar an
bolos	bolos
dikurung	di kurung
informasi	informasi
menggali	men gali
ketidakhadiran	ke tidak hadir an
seenaknya	se enak nya
campak	campak
pemutakhirannya	pen mutakhir an nya
serok	se rok
biologi	biologi
mengasumsikan	men asumsi kan
disebarkan	di sebar kan
mempelajari	men pelajar i
pemilik	pen milik
pengamanan	pen aman an
usulan	usul an
sampelnya	sampel nya
cermat	cermat
diratifikasi	di ratifikasi
selatan	selatan
gemuk	gemuk
memerdekakan	men merdeka kan
dangkal	dangkal
normal	normal
pelanggan	pen langgan
bertanya	ber tanya
dilanjutkan	di lanjut kan
gardu	gardu
pelempar	pen lempar
masehi	masehi
didorong	di dorong
pemeta	pen peta
percayai	percaya i
berawak	ber awak
sayap	sayap
otomotif	otomotif
mendirikan	men diri kan
sistemnya	sistem nya
melayang	men layang
penetapannya	pen tetap an nya
seruan	seru an
dimainkan	di main kan
beranggota	ber anggota
didiami	di diam i
radius	radius
sayangnya	sayang nya
menjejakkan	men jejak kan
lain	lain
melodi	melodi
bajakannya	bajak an nya
mereformasi	men reformasi
ambisi	ambisi
sejarah	sejarah
alkohol	alkohol
implikasinya	implikasi nya
manisnya	manis nya
diperdalam	di per dalam
mengasari	men kasar i
tutup	tutup
otonominya	otonomi nya
diterapkannya	di terap kan nya
persebaran	per sebar an
digantikan	di ganti kan
hambaku	hamba aku
pembacaan	pen baca an
penutupan	pen tutup an
berlangsung	ber langsung
makmur	makmur
bidang	bidang
membuktikannya	men bukti kan nya
memasangnya	men pasang nya
penambak	pen tambak
menyerupai	men serupa i
diamati	di amati
kuatirmu	kuatir mu
menyaksikannya	men saksi kan nya
peninjauan	pen tinjau an
penanganannya	pen tangan an nya
ambulan	ambulan
penyediaan	pen sedia an
berintensitas	ber intensitas
menghemat	men hemat
lambat	lambat
ketanggapan	ke tanggap an
ternama	ter nama
menyumbangkan	men sumbang kan
mencampur	men campur
direstrukturisasi	di restrukturisasi
mengajarinya	men ajar i nya
dukun	dukun
berkelanjutan	ber ke lanjut an
dipindahkan	di pindah kan
bisbol	bisbol
ditagih	di tagih
bajak	bajak
dekatnya	dekat nya
muat	muat
diwarisinya	di waris i nya
tabir	tabir
pikiran	pikir an
didoakan	di doa kan
pujikan	puji kan
terusik	ter usik
meninjunya	men tinju nya
musuhmu	musuh mu
memperburuk	men buruk
penyelenggaraannya	pen selenggara an nya
dihubungi	di hubung i
penyampaian	pen sampai an
menghadiri	men hadir i
berulang	ber ulang
jari	jari
penyataan	pen nyata an
pisau	pisau
persaudaraannya	per saudara an nya
hadapan	hadap an
foto	foto
menyesatkan	men sesat kan
peradilan	per adil an
ukur	ukur
menginvestigasi	men investigasi
tembus	tembus
bermimpi	ber mimpi
dieliminasi	di eliminasi
mengutamakan	men utama kan
pengabdian	pen abdi an
menghasilkan	men hasil kan
kondisi	kondisi
diketuai	di ketua i
likuiditas	likuiditas
pengairan	pen air an
bermula	ber mula
rendahan	rendah an
disediakan	di sedia kan
membatu	men batu
berkarakteristik	ber karakteristik
rute	rute
konsekuensinya	konsekuensi nya
menang	menang
kedipan	kedip an
dilalui	di lalu i
menghitungnya	men hitung nya
mitranya	mitra nya
pengucapan	pen ucap an
koperasinya	koperasi nya
mengambil	men ambil
diangkut	di angkut
bayarkan	bayar kan
menghantam	men hantam
besaran	besar an
menyesal	men sesal
diterangkan	di terang kan
kacau	kacau
bermoral	ber moral
menangnya	menang nya
teridentifikasi	ter identifikasi
tertelak	ter telak
telpon	telpon
tengah	tengah
jarum	jarum
imbangannya	imbang an nya
kayu	kayu
kendali	kendali
representasi	representasi
menurunnya	men turun nya
kawan	kawan
pembatalannya	pen batal an nya
tunduk	tunduk
mengukir	men ukir
bercocok	ber cocok
bertingkat	ber tingkat
posko	posko
berprofesi	ber profesi
disisipkan	di sisip kan
titik	titik
mengumpulkan	men kumpul kan
bermaksud	ber maksud
pembacanya	pen baca nya
nonanggota	non anggota
repot	repot
pembicaraan	pen bicara an
andalan	andal an
konsumsi	konsumsi
menyumbang	men sumbang
berpindahnya	ber pindah nya
mengagendakan	men agenda kan
seminggu	se minggu
konservasi	konservasi
pelita	pelita
seksama	seksama
kuncinya	kunci nya
sosis	sosis
utuh	utuh
kesediaan	ke sedia an
direpotkan	di repot kan
mengucapkan	men ucap kan
dikaruniai	di karunia i
pemodal	pen modal
mendasar	men dasar
pelupa	pen lupa
pekerjaan	pekerja an
dijadikannya	di jadi kan nya
pemisahan	pen pisah an
terguncangkan	ter guncang kan
tumpuan	tumpu an
ditangkap	di tangkap
pengganti	pen ganti
menanggapi	men tanggap i
pelemparan	pen lempar an
ditempuh	di tempuh
tersapu	ter sapu
