sepedanya	sepeda nya
beradik	ber adik
aduan	adu an
diutus	di utus
ayah	ayah
peringkat	peringkat
bercerita	ber cerita
dipatuhi	di patuh i
dikasihinya	di kasih i nya
sampannya	sampan nya
makanannya	makan an nya
didengarkan	di dengar kan
lengkap	lengkap
bergiliran	ber gilir an
tobat	tobat
berperkara	ber perkara
menghayati	men hayat i
melahirkan	men lahir kan
moyang	moyang
mulutku	mulut ku
mengimunisasi	men imunisasi
menunggu	men tunggu
sahut	sahut
penggantinya	pen ganti nya
disabotase	di sabotase
rekonstruksi	rekonstruksi
ri	ri
pembobolan	pen bobol an
injil	injil
menyederhanakannya	men sederhana kan nya
serunya	seru nya
indikator	indikator
mengesankan	men kesan kan
hiburan	hibur an
bapaknya	bapak nya
enggannya	enggan nya
keandalan	ke andal an
pembaharuan	pen baharu an
mulianya	mulia nya
aslinya	asli nya
terbilang	ter bilang
kentalnya	kental nya
bawakan	bawa kan
dicairkan	di cair kan
pelamar	pen lamar
pameran	pamer an
menikahi	men nikah i
huni	huni
penerima	pen terima
keruh	keruh
dikonsumsi	di konsumsi
diburu	di buru
obyek	obyek
menyebrangi	men sebrang i
saji	saji
menjamin	men jamin
mendetail	men detail
dagangnya	dagang nya
mengedarkan	men edar kan
analisi	analis i
terbelakang	ter belakang
merealisasikannya	men realisasi kan nya
berkala	ber kala
terbawa	ter bawa
pendangkalan	pen dangkal an
mengandung	men kandung
mengecam	men kecam
taksi	taksi
dinas	dinas
malapetaka	malapetaka
resah	resah
tanamannya	tanam an nya
terbebani	ter beban i
projek	projek
dipamerkan	di pamer kan
cakap	cakap
panduan	pandu an
menjamu	men jamu
mawarnya	mawar nya
berfirman	ber firman
lingkungannya	lingkung an nya
meredakan	men reda kan
identifikasi	identifikasi
kirimu	kiri mu
perputaran	per putar an
bercahaya	ber cahaya
akhirnya	akhir nya
menyiasatinya	men siasat i nya
menyampaikannya	men sampai kan nya
bertanggung	ber tanggung
antisipasi	antisipasi
muat	muat
stakeholder	stakeholder
pedesaannya	pedesaan nya
udang	udang
militer	militer
koreksi	koreksi
menghadiri	men hadir i
hibah	hibah
iblis	iblis
wakil	wakil
memerdekakan	men merdeka kan
memperdamaikan	men damai kan
departemen	departemen
menyatakannya	men nyata kan nya
dekonsentrasi	dekonsentrasi
menyesal	men sesal
paku	paku
gangguan	ganggu an
kualifikasinya	kualifikasi nya
fajar	fajar
waktunya	waktu nya
jengkel	jengkel
neneknya	nenek nya
sumbernya	sumber nya
pendistribusi	pen distribusi
meniru	men tiru
gerbang	gerbang
antrian	antri an
gaul	gaul
maksimalnya	maksimal nya
retribusinya	retribusi nya
duplikasi	duplikasi
bermain	ber main
ajarannya	ajar an nya
skalanya	skala nya
ramalan	ramal an
umpan	umpan
kala	kala
congkak	congkak
rekonstruksinya	rekonstruksi nya
mempersempit	men sempit
menduduki	men duduk i
mata	mata
tercetak	ter cetak
produktivitas	produktivitas
langkah	langkah
menantangnya	men tantang nya
kerinduan	ke rindu an
merahasiakan	men rahasia kan
bertugas	ber tugas
persediaan	per sedia an
dipandu	di pandu
cirinya	ciri nya
ditekankan	di tekan kan
pengamanan	pen aman an
orbit	orbit
bintang	bintang
pengayaan	pen kaya an
bersengketa	ber sengketa
tangkapan	tangkap an
norwegia	norwegia
kesenjangan	kesenjangan
dek	dek
diganti	di ganti
disisipkan	di sisip kan
konsorsium	konsorsium
relawan	rela wan
pengukur	pen ukur
koleksi	koleksi
menyinggung	men singgung
semut	semut
memodernisasi	men modernisasi
ribut	ribut
spanyol	spanyol
bawahmu	bawah mu
beraib	ber aib
meluangkan	men luang kan
diberatkan	di berat kan
mempertanggungjawabkan	men tanggungjawab kan
membuktikan	men bukti kan
jambangan	jambang an
kamboja	kamboja
menyandarkan	men sandar kan
beroperasinya	ber operasi nya
menepi	men tepi
merepotkan	men repot kan
menyambut	men sambut
uraian	urai an
merambat	men rambat
merakit	men rakit
peringatan	per ingat an
pertobatan	per tobat an
melonjak	men lonjak
melanggarnya	men langgar nya
manuver	manuver
waktuku	waktu ku
memikulnya	men pikul nya
saksikan	saksi kan
mengidentifikasi	men identifikasi
buahnya	buah nya
bertobat	ber tobat
bekerjasama	bekerjasama
nonmuslim	nonmuslim
berteman	ber teman
insentif	insentif
konsultan	konsultan
tinggalkan	tinggal kan
salam	salam
teratas	ter atas
likuiditas	likuiditas
darahku	darah ku
memperbaharui	men baharu i
membantunya	men bantu nya
mini	min i
kotornya	kotor nya
menguasai	men kuasa i
terkesan	ter kesan
imigrasi	imigrasi
menghantarkan	men hantar kan
zakat	zakat
dikirimkan	di kirim kan
pemalsu	pen palsu
menjamurnya	men jamur nya
terkejut	ter kejut
ibukota	ibukota
menghentikannya	men henti kan nya
belakangan	belakang an
perduli	perduli
dipunyai	di punya i
konotasi	konotasi
tanamnya	tanam nya
bertanda	ber tanda
bijaksana	bijaksana
ujungnya	ujung nya
polusi	polusi
pita	pita
kluster	kluster
kejatuhan	ke jatuh an
susulan	susul an
pemerannya	pen peran nya
penyerang	pen serang
mendukung	men dukung
inggris	inggris
membantu	men bantu
diunduh	di unduh
cabangnya	cabang nya
pemisah	pen pisah
juruselamatnya	juruselamat nya
citranya	citra nya
melompat	men lompat
internalnya	internal nya
benak	benak
berlimpah	ber limpah
tersadar	ter sadar
mengasihinya	men kasih i nya
ketuanya	ketua nya
disetor	di setor
cintanya	cinta nya
dititipkan	di titip kan
jalurnya	jalur nya
apresiasinya	apresiasi nya
kehendakku	kehendak ku
iseng	iseng
bercacat	ber cacat
sempit	sempit
seperangkat	se perangkat
mengubah	men ubah
mencabutnya	men cabut nya
dipasang	di pasang
memakainya	men pakai nya
memburuknya	men buruk nya
ditulis	di tulis
memfasilitas	men fasilitas
interpretasi	interpretasi
menggratiskan	men gratis kan
kandangmu	kandang mu
entitas	entitas
menasehati	men nasehat i
penundukan	pen tunduk an
mengeluhkan	men keluh kan
menginginkanmu	men ingin kan mu
mencurangi	men curang i
asian	asian
maksudnya	maksud nya
pemda	pemda
penyusunan	pen susun an
melemahkan	men lemah kan
melanggar	men langgar
mengkonfirmasi	men konfirmasi
disumbangkan	di sumbang kan
gurunya	guru nya
hubungi	hubung i
pisau	pisau
menandakan	men tanda kan
saluran	salur an
dihindari	di hindar i
vulkanik	vulkanik
pencapaian	pen capai an
digunakannya	di guna kan nya
gunting	gunting
dijelajahi	di jelajah i
anjingnya	anjing nya
memanggil	men panggil
seksama	seksama
tangani	tangan i
kajian	kaji an
penghimpunan	pen himpun an
ketidaktersediaan	ke tidak tersedia an
tangerang	tangerang
menanami	men tanam i
ambivalensi	ambivalensi
banjir	banjir
pelembagaan	pen lembaga an
kayu	kayu
terdapatnya	ter dapat nya
sukar	sukar
karir	karir
tekanan	tekan an
besarannya	besar an nya
mendampinginya	men damping i nya
mengungguli	men unggul i
ketidakseimbangan	ke tidak seimbang an
bekerja	bekerja
lapak	lapak
pembicaranya	pen bicara nya
selesaikan	selesai kan
bernama	ber nama
penginjil	pen injil
mengontak	men kontak
terselami	ter selam i
kokpit	kokpit
korelasi	korelasi
kuminta	ku minta
dipromosikan	di promosi kan
kamu	kamu
warganegara	warganegara
beton	beton
mempraktekkan	men praktek kan
menyesuaikan	men sesuai kan
penyelesaian	pen selesai an
senjata	senjata
direkomendasikan	di rekomendasi kan
menguduskan	men kudus kan
menanyakan	men tanya kan
bersoal	ber soal
pesaing	pesaing
merumuskan	men rumus kan
tenda	tenda
mencadangkan	men cadang kan
mawar	mawar
pengkajian	pen kaji an
