nontarif	non tarif
menggugahnya	men gugah nya
pengeluarannya	pen keluar an nya
airnya	air nya
kristus	kristus
bergunanya	ber guna nya
bersedih	ber sedih
dalih	dalih
dipeluk	di peluk
berjudul	ber judul
pukul	pukul
ilmuwan	ilmu wan
difokuskan	di fokus kan
seperangkat	se perangkat
karat	karat
liter	liter
bermasyarakat	ber masyarakat
sabaran	sabar an
dimenangkan	di menang kan
mirip	mirip
termin	ter min
merencanakan	men rencana kan
mendukung	men dukung
kanannya	kanan nya
diulas	di ulas
arogan	arogan
cepatnya	cepat nya
istilahnya	istilah nya
desentralisasi	desentralisasi
infrastruktur	infrastruktur
penghuni	pen huni
penyimpanan	pen simpan an
diikutkan	di ikut kan
pulsa	pulsa
lancarnya	lancar nya
terpelajar	ter pelajar
terbaik	ter baik
kudus	kudus
ditebang	di tebang
radius	radius
tambal	tambal
minimalnya	minimal nya
perdesaan	per desa an
komentarnya	komentar nya
berintegritas	ber integritas
entri	entri
pengambilannya	pen ambil an nya
keponakan	keponakan
siang	siang
perintis	pen rintis
dimuliakan	di mulia kan
ajak	ajak
menggosok	men gosok
iurannya	iuran nya
kemungkinan	kemungkinan
kulit	kulit
tenteram	tenteram
mencurahkan	men curah kan
karunnya	karun nya
disusul	di susul
pengamatan	pengamat an
jalurnya	jalur nya
budaya	budaya
dikelolanya	di kelola nya
melangkahkan	men langkah kan
sekeras	se keras
gerutuan	gerutu an
jerat	jerat
membengkokkan	men bengkok kan
paparan	papar an
kulalui	ku lalu i
warganegara	warganegara
dibuang	di buang
mengoleskan	men oles kan
petinggi	petinggi
ditentang	di tentang
pencetakan	pen cetak an
ditata	di tata
tangisan	tangis an
gagal	gagal
nonpertanian	non per tani an
penyembah	pen sembah
terjadinya	ter jadi nya
memperberat	men berat
pembuatnya	pen buat nya
mengasah	men asah
penanggulangan	pen tanggulang an
mobilnya	mobil nya
bertambah	ber tambah
bawahnya	bawah nya
bukit	bukit
memperbudak	men budak
berbulu	ber bulu
meneliti	men teliti
otaknya	otak nya
tahunannya	tahun an nya
mengimbangi	men imbang i
diperingan	di per ringan
tenggang	tenggang
kelam	kelam
bersemangat	ber semangat
beresiko	ber resiko
mewah	mewah
dipilih	di pilih
zaman	zaman
pembiayaan	pen biaya an
faktanya	fakta nya
percaya	percaya
menyelenggarakan	men selenggara kan
tangerang	tangerang
reputasi	reputasi
pembedahan	pen bedah an
beda	beda
mengenalnya	men kenal nya
lokasinya	lokasi nya
mengorelasikan	men korelasi kan
remeh	remeh
senada	se nada
mengaktifkannya	men aktif kan nya
upacara	upacara
mengelilinginya	men keliling i nya
menganggarkan	men anggar kan
ditantang	di tantang
menuturkan	men tutur kan
harapannya	harap an nya
pembibitan	pen bibit an
melengkapi	men lengkap i
cengkeraman	cengkeram an
wirausaha	wirausaha
dipisahkan	di pisah kan
februari	februari
menempuh	men tempuh
kumpulan	kumpul an
doakan	doa kan
pelita	pelita
akhirat	akhirat
cerdas	cerdas
dikontrak	di kontrak
format	format
melekatnya	men lekat nya
sinarnya	sinar nya
pengangkutan	pen angkut an
kosong	kosong
watak	watak
menghubunginya	men hubung i nya
manuver	manuver
lelang	lelang
alergi	alergi
terbuai	ter buai
bergelut	ber gelut
mulus	mulus
berkonsultasi	ber konsultasi
penanam	pen tanam
batin	batin
ahli	ahli
wajan	wajan
gawang	gawang
tersingkir	ter singkir
nyatanya	nyata nya
padi	padi
diselenggarakan	di selenggara kan
menulari	men tular i
melemahkan	men lemah kan
menelusuri	men telusuri
pemegang	pen pegang
konsensus	konsensus
pemblokiran	pen blokir an
terparkir	ter parkir
disebut	di sebut
bermaksud	ber maksud
tenggelam	tenggelam
dikagumi	di kagum i
dinyatakan	di nyata kan
ketidakberhasilan	ke tidak berhasil an
menipu	men tipu
membebaskannya	men bebas kan nya
terkonsentrasi	ter konsentrasi
diperkenalkan	di per kenal kan
padat	padat
diperdalam	di per dalam
belalang	belalang
seramai	se ramai
semang	semang
menggiatkan	men giat kan
halamannya	halaman nya
menjulurkan	men julur kan
legenda	legenda
kuda	kuda
tertanam	ter tanam
berotak	ber otak
penyemprot	pen semprot
mengikutinya	men ikut i nya
jala	jala
bernama	ber nama
prihatin	prihatin
pinggang	pinggang
relawan	rela wan
menggendong	men gendong
terkandung	ter kandung
hubunganku	hubung an ku
terposisikan	ter posisi kan
santai	santai
diizinkan	di izin kan
tersesatnya	ter sesat nya
pendangkalan	pen dangkal an
berkinerja	ber kinerja
menasehati	men nasehat i
mengakses	men akses
adakan	ada kan
dicocokkan	di cocok kan
mainkan	main kan
asrama	asrama
metrologi	metrologi
tenda	tenda
diterjunkan	di terjun kan
mempromosikan	men promosi kan
ekonomis	ekonomis
ketidakmunculan	ke tidak muncul an
samping	samping
disana	di sana
digerakkan	di gerak kan
imbalan	imbalan
pembeda	pen beda
musiman	musim an
isterinya	isteri nya
dicuci	di cuci
lkm	lkm
dikonversi	di konversi
bergaul	ber gaul
ditempatkan	di tempat kan
pejabat	pejabat
tahun	tahun
mengulas	men ulas
berdampaknya	ber dampak nya
kurun	kurun
timbul	timbul
persentase	persentase
kakinya	kaki nya
dijajakan	di jaja kan
fasilitatornya	fasilitator nya
ragi	ragi
mempertanggungjawabkannya	men tanggungjawab kan nya
pihaknya	pihak nya
ayah	ayah
mendekat	men dekat
tampungnya	tampung nya
sambungan	sambung an
diredam	di redam
suci	suci
ditangan	di tangan
pembantuan	pen bantu an
pendingin	pen dingin
marjinal	marjinal
pengabdiannya	pen abdi an nya
menjerit	men jerit
mencemarkan	men cemar kan
rumah	rumah
dipindahkan	di pindah kan
kamera	kamera
pemberdayaan	pemberdayaan
meluasnya	men luas nya
tajamnya	tajam nya
terbebas	ter bebas
berpalang	ber palang
jarinya	jari nya
jambangan	jambang an
lezatnya	lezat nya
ditambahkannya	di tambah kan nya
dihanguskan	di hangus kan
pembaca	pen baca
indeks	indeks
mengalirkan	men alir kan
terlindungi	ter lindung i
lalui	lalu i
diancam	di ancam
bersiap	ber siap
seporsi	se porsi
cirinya	ciri nya
tari	tari
nonbank	non bank
paket	paket
mangsa	mangsa
vertikal	vertikal
relasinya	relasi nya
gembala	gembala
menguntungkan	men untung kan
babak	babak
mengkaji	men kaji
penyelenggaraannya	pen selenggara an nya
lipat	lipat
dikumpulkan	di kumpul kan
konsep	konsep
tercakup	ter cakup
dengar	dengar
taksir	taksir
merantai	men rantai
realisasinya	realisasi nya
dirintis	di rintis
memacu	men pacu
tangis	tangis
parlemen	parlemen
beralkohol	ber alkohol
mengolahnya	men olah nya
impor	impor
dimonitor	di monitor
mesir	mesir
dituliskan	di tulis kan
kuatirmu	kuatir mu
hungaria	hungaria
tingkat	tingkat
tersesat	ter sesat
taburkan	tabur kan
antarpengukuran	antar pen ukur an
menuangkan	men tuang kan
dakwaan	dakwa an
tingkatan	tingkat an
dicuri	di curi
calon	calon
didialogkan	di dialog kan
menarifkan	men tarif kan
penganggaran	pen anggar an
didekati	di dekat i
alih	alih
banyak	banyak
pasar	pasar
emosi	emosi
